hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
23,518557.4429224193,6012.4227980768,524569.865720496,2825.486304182367,1220395.7256382199,0.0,D56_risk625
0,513204.3736748308,0.0,513204.3736748308,0.0,1203311.4443764775,24775.755626352195,D56_mu069
1,513948.5687151878,0.0,513948.5687151878,0.0,1193010.26449907,31419.755673663538,D56_mu069
2,510842.3585100092,0.0,510842.3585100092,0.0,1177957.5382503597,33827.12793310858,D56_mu069
3,488255.78980779246,0.0,488255.78980779246,0.0,1118596.73512631,31325.11397109212,D56_mu069
4,457656.7609326844,0.0,457656.7609326844,0.0,1041695.0923423154,33772.99564548836,D56_mu069
5,464778.5874033001,2368.192856783045,467146.78026008315,592.9162367111051,1030551.9016003609,78039.774753325,D56_mu069
6,274021.8237190402,21908.820842792815,295930.644561833,5047.67318817101,319793.47210034175,0.0,D56_mu069
7,366922.44865148515,17632.995994772253,384555.44464625744,4165.61337025287,476883.03123990295,8932.160591403743,D56_mu069
8,6293.204872631205,29829.314301115286,36122.51917374649,5587.106063008054,5540.926601668212,0.0,D56_mu069
9,29391.22543996735,79362.46533136058,108753.69077132794,16201.600499452177,30746.079256277822,0.0,D56_mu069
10,76501.41591884026,42947.57865191641,119448.99457075667,9027.636145550108,132384.52483328737,5461.948229774643,D56_mu069
11,375122.9868780823,732.7698426550045,375855.75672073726,303.61016442728635,795906.0989474108,77474.62754992257,D56_mu069
12,312326.28146345954,0.0,312326.28146345954,0.0,680680.5106233556,257096.07729848783,D56_mu069
13,51186.41935467304,0.0,51186.41935467304,0.0,59142.82223629674,20150.533774304145,D56_mu069
14,109574.74009275064,0.0,109574.74009275064,0.0,163186.17364912617,18814.639367563006,D56_mu069
15,640002.5236585949,1465.7823086444296,641468.3059672394,369.4351349754207,867847.6341815729,199349.957927095,D56_mu069
16,1026020.6925685044,4077.456444087883,1030098.1490125923,921.9359310466749,1155193.6820666287,71588.2957724797,D56_mu069
17,1502486.2185131423,2110.8770030981505,1504597.0955162405,412.4550725776786,1470203.7546917032,46011.983393309696,D56_mu069
18,1262049.080107461,7014.398733491849,1269063.4788409527,1056.5315281223907,1000582.5356354718,10651.832056304042,D56_mu069
19,208053.44073608858,104324.68482628542,312378.125562374,15476.890769144933,154342.65961985034,0.0,D56_mu069
20,670389.9221273178,377550.4168922801,1047940.3390195979,56020.13483954141,593500.4828129848,0.0,D56_mu069
21,1288807.8339902852,42890.11998210405,1331697.9539723892,9361.136040411096,1648600.1150576014,287.8359456413201,D56_mu069
22,1067987.4111604623,0.0,1067987.4111604623,0.0,2557969.2700414336,2507.3879644962662,D56_mu069
23,1078421.2662121374,0.0,1078421.2662121374,0.0,2538129.8101387755,71693.11832352527,D56_mu069
