policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
soft_w28,2025-12-21,18,36,14495.54939208273,14495.549392082734,-3.637978807091713e-12,9.094947017729282e-13,0.002198292000684887,True
variable_raw,2025-04-01,0,144,40888.5030742058,40888.503074205786,1.4551915228366852e-11,4.547473508864641e-13,0.004970417001459282,True
variable_raw,2025-04-01,6,108,31083.690803402227,31083.690803402213,1.4551915228366852e-11,4.547473508864641e-13,0.004685958003392443,True
variable_raw,2025-04-01,12,72,25738.093983506616,25738.09398350661,7.275957614183426e-12,9.094947017729282e-13,0.0033579170049051754,True
variable_raw,2025-04-01,18,36,16389.505945702913,16389.505945702913,0.0,3.410605131648481e-13,0.0019514579980750568,True
variable_raw,2025-06-21,0,144,18122.076505597302,18122.076505597306,-3.637978807091713e-12,4.547473508864641e-13,0.004171125001448672,True
variable_raw,2025-06-21,6,108,14305.187623086858,14305.187623086858,0.0,9.094947017729282e-13,0.004526666998572182,True
variable_raw,2025-06-21,12,72,14269.878183947976,14269.878183947973,3.637978807091713e-12,9.094947017729282e-13,0.003042832999199163,True
variable_raw,2025-06-21,18,36,11796.917274420814,11796.917274420814,0.0,9.094947017729282e-13,0.0017631670052651316,True
variable_raw,2025-09-23,0,144,42713.81257157453,42713.81257157452,7.275957614183426e-12,1.1368683772161603e-13,0.0043863329992746,True
variable_raw,2025-09-23,6,108,31041.55475439027,31041.55475439027,0.0,4.547473508864641e-13,0.004481374999159016,True
variable_raw,2025-09-23,12,72,28806.797971977372,28806.797971977376,-3.637978807091713e-12,2.8421709430404007e-13,0.0032313749979948625,True
variable_raw,2025-09-23,18,36,20236.853905218555,20236.85390521855,3.637978807091713e-12,1.7053025658242404e-13,0.0018413330035400577,True
variable_raw,2025-12-21,0,144,71989.24100204845,71989.24100204842,2.9103830456733704e-11,9.094947017729282e-13,0.004336625002906658,True
variable_raw,2025-12-21,6,108,55587.50201352165,55587.502013521625,2.1827872842550278e-11,9.094947017729282e-13,0.004282750000129454,True
variable_raw,2025-12-21,12,72,40178.82757797706,40178.82757797708,-1.4551915228366852e-11,9.094947017729282e-13,0.0031006249992060475,True
variable_raw,2025-12-21,18,36,16302.470542693129,16302.470542693129,0.0,9.094947017729282e-13,0.001857957999163773,True
