policy,date,expected_emergency_yuan,actual_emergency_yuan,emergency_prediction_error_yuan,selected_proxy_score_yuan,actual_cost_yuan
P_B1,2025-09-20,69.84109131131093,0.0,-69.84109131131093,19373.351270371746,19302.981574348334
P_B1,2025-09-21,1221.008603184273,0.0,-1221.008603184273,46738.967230752154,45516.45747151105
P_B1,2025-09-22,1237.1895388405205,2198.242921149802,961.0533823092815,43839.559263591116,44798.86965418981
P_B1,2025-09-23,1372.956576658176,42.996187500000005,-1329.960389158176,45970.13235510258,44652.21646871086
P_B1,2025-09-24,1174.1447110311242,0.0,-1174.1447110311242,46531.35173452325,45355.51495360487
P_B1,2025-09-25,1272.1804795273163,103.49743166666593,-1168.6830478606503,46145.85504404787,44975.68794086098
P_B1,2025-09-26,52.08708328370257,0.0,-52.08708328370257,19991.2518430103,19938.883968304668
P_B1,2025-09-27,93.05686612393808,0.0,-93.05686612393808,19827.81072906546,19734.352119593663
P_B1,2025-09-28,1309.798448848416,332.5750493303044,-977.2233995181116,47335.068821734436,46357.41390068988
P_B1,2025-09-29,1317.1030475789687,95.70165865333409,-1221.4013889256346,48305.6652361344,47084.09702466529
P_B1,2025-09-30,1300.9576742568372,136.8027967916672,-1164.15487746517,47765.604458387825,46601.437228081515
P_B1,2025-10-01,1145.0882665684815,0.0,-1145.0882665684815,49451.176213151404,48306.08794658291
P_B1,2025-10-02,938.5841996624393,0.0,-938.5841996624393,41514.34489729058,40575.760697628146
P_B1,2025-10-03,13.815340576725104,0.0,-13.815340576725104,18969.693438992395,18955.87809841567
P_B1,2025-10-04,10.746789574182104,0.0,-10.746789574182104,20192.61408072852,20181.867291154333
P_B1,2025-10-05,926.0201372078857,0.0,-926.0201372078857,46314.352401062904,45388.332263855016
P_B1,2025-10-06,934.6438462548975,0.0,-934.6438462548975,44657.278567962334,43722.63472170743
P_B1,2025-10-07,722.5581283314305,0.0,-722.5581283314305,45753.67950333695,45031.1213750055
P_B1,2025-10-08,659.5034235686777,0.0,-659.5034235686777,42619.473081547316,41959.764648655604
P_B1,2025-10-09,302.7725456638248,0.0,-302.7725456638248,41025.147615548995,40721.49761574869
P_B1,2025-10-10,13.23919801976147,0.0,-13.23919801976147,17072.644212940762,17059.405014921
P_B1,2025-10-11,0.0,0.0,0.0,17704.406664603666,17704.406664603666
P_B1,2025-10-12,335.3728810040898,40.53297838666728,-294.83990261742247,43765.13559429984,43469.42272567979
P_B1,2025-10-13,256.5678078375547,0.0,-256.5678078375547,42455.625103038605,42198.606169212755
P_B1,2025-10-14,317.1518393481607,461.27395761667714,144.12211826851643,41365.83783506572,41508.831293203926
P_B1,2025-10-15,273.8585006624313,0.0,-273.8585006624313,43700.971540333536,43425.936791637876
P_B1,2025-10-16,387.5734760061228,338.20543671890147,-49.368039287221336,44880.18498997911,44829.98020217185
P_B1,2025-10-17,45.45082793682478,0.0,-45.45082793682478,18547.78855971701,18502.032855311336
P_B1,2025-10-18,27.37245878901539,0.0,-27.37245878901539,18039.269963820072,18011.581280499
P_B1,2025-10-19,436.4668295943238,0.0,-436.4668295943238,44791.42952201021,44353.64118224355
P_B1,2025-10-20,477.23423253313297,0.0,-477.23423253313297,46272.31036794439,45793.686119103295
P_B1,2025-10-21,460.2164100804503,0.0,-460.2164100804503,46791.917976117235,46330.690180886995
P_B1,2025-10-22,387.60241348848183,0.0,-387.60241348848183,47382.2097874051,46993.70824452751
P_B1,2025-10-23,449.9870562880181,0.0,-449.9870562880181,47554.32019871073,47103.47397111282
P_B1,2025-10-24,25.21153821164784,0.0,-25.21153821164784,18194.365225463305,18169.153687251666
P_B1,2025-10-25,32.40418775524385,121.05610344260013,88.65191568735628,18494.025769228243,18582.677684915598
P_B1,2025-10-26,429.7401775364469,0.0,-429.7401775364469,47304.17563258985,46874.435455053404
P_B1,2025-10-27,279.1521070056728,61.18629571999876,-217.96581128567405,46579.86225261521,46361.89644132955
P_B1,2025-10-28,283.2854204672695,0.0,-283.2854204672695,46003.25048629409,45719.96506582682
P_B1,2025-10-29,349.9094664078916,0.0,-349.9094664078916,47657.86840876395,47307.95894235605
P_B1,2025-10-30,154.35242464720085,0.0,-154.35242464720085,49352.83988582124,49198.487461174045
P_B1,2025-10-31,52.2566692917462,0.0,-52.2566692917462,19386.757728759076,19334.50105946733
P_B1,2025-11-01,81.89651771348693,0.0,-81.89651771348693,19525.416046986487,19443.519529273
P_B1,2025-11-02,139.58640979556486,660.3829004799866,520.7964906844218,48685.2092967525,49206.00578743692
P_B1,2025-11-03,130.73417924506884,0.0,-130.73417924506884,49468.231969206165,49337.49778996109
P_B1,2025-11-04,158.65822308459605,70.67543964333116,-87.98278344126489,49352.44270677713,49264.459923335875
P_B1,2025-11-05,216.00331934652948,0.0,-216.00331934652948,49004.082499042735,48788.0791796962
P_B1,2025-11-06,137.8219476361337,1995.942860180833,1858.1209125446992,49429.42603828935,51287.54695083405
P_B1,2025-11-07,66.48328802392273,0.0,-66.48328802392273,19633.10473025674,19566.621442232816
P_B1,2025-11-08,72.81400007964373,0.0,-72.81400007964373,19347.075048661645,19274.261048582
P_B1,2025-11-09,178.97553890485253,0.0,-178.97553890485253,49991.315969586445,49812.34043068159
P_B1,2025-11-10,66.87925403332592,0.0,-66.87925403332592,51013.232811053414,50946.35355702009
P_B1,2025-11-11,77.00751008171574,0.0,-77.00751008171574,52432.95696240777,52355.94945232605
P_B1,2025-11-12,74.4286060091208,0.0,-74.4286060091208,51248.5370924002,51174.10848639107
P_B1,2025-11-13,72.40421012706487,79.14255722665378,6.738347099588907,51394.05858296967,51400.796930069264
P_B1,2025-11-14,19.982267669407445,0.0,-19.982267669407445,20063.67104955174,20043.68878188233
P_B1,2025-11-15,0.0,0.0,0.0,20073.65176600869,20073.65176600869
P_B1,2025-11-16,100.3691135708924,0.0,-100.3691135708924,53149.14547475251,53048.77636118162
P_B1,2025-11-17,129.25867199495366,0.0,-129.25867199495366,53839.164711750316,53709.90603975537
P_B1,2025-11-18,120.10413913934231,0.0,-120.10413913934231,52869.453188810454,52749.34904967112
P_B1,2025-11-19,69.30688005744794,6.301057499999959,-63.005822557447985,53344.4099687339,53281.40414617645
P_B1,2025-11-20,185.9813642432186,0.0,-185.9813642432186,54246.56847083344,54060.58710659023
P_B1,2025-11-21,0.0,0.0,0.0,20481.982642127994,20481.982642127994
P_B1,2025-11-22,0.0,0.0,0.0,20700.93861633745,20700.93861633745
P_B1,2025-11-23,194.93686322066674,0.0,-194.93686322066674,54900.75145900263,54705.814595781965
P_B1,2025-11-24,273.701745621085,0.0,-273.701745621085,53938.32343677573,53664.62169115465
P_B1,2025-11-25,111.50934560517238,0.0,-111.50934560517238,53205.35208065373,53093.84273504856
P_B1,2025-11-26,166.8142731884037,154.53999266666654,-12.274280521737154,55270.76262710215,55258.488346580416
P_B1,2025-11-27,219.20951879233368,0.0,-219.20951879233368,55455.09791573233,55235.888396940005
P_B1,2025-11-28,0.0,0.0,0.0,21296.677732497643,21296.677732497643
P_B1,2025-11-29,0.0,0.0,0.0,21426.1667494869,21426.1667494869
P_B1,2025-11-30,209.75041966262526,28.398311333333652,-181.3521083292916,57872.14484921764,57690.79274088834
P_B1,2025-12-01,304.92506880522444,14540.821076514687,14235.896007709462,57807.69924071933,72043.5952484288
P_B1,2025-12-02,660.3649499066626,22390.514556543803,21730.14960663714,57423.048926383366,79153.19853302052
P_B1,2025-12-03,1335.254764942846,4957.1404354383385,3621.8856704954924,60180.09629491103,63801.98196540652
P_B1,2025-12-04,1363.892135868822,16097.826342205462,14733.93420633664,59290.64943329859,74024.58363963522
P_B1,2025-12-05,1546.5769999255967,6729.862684231546,5183.285684305949,25042.981367186145,30226.267051492094
P_B1,2025-12-06,1232.5080388139213,12293.313211236306,11060.805172422384,25150.84430866311,36250.98187756249
P_B1,2025-12-07,1534.4981758941792,351.94497264499853,-1182.5532032491806,62172.372901094655,61005.013871698226
P_B1,2025-12-08,1311.5116555560319,0.0,-1311.5116555560319,66070.32450619174,64757.9966305246
P_B1,2025-12-09,1368.0201234545577,0.0,-1368.0201234545577,66894.55407228874,65525.61777681701
P_B1,2025-12-10,1343.529999440241,0.0,-1343.529999440241,65762.74689965067,64418.285942860326
P_B1,2025-12-11,1323.7112000496588,0.0,-1323.7112000496588,67225.76524226103,65900.95296228933
P_B1,2025-12-12,1365.930541440279,0.0,-1365.930541440279,29430.749959826873,28064.819418386593
P_B1,2025-12-13,1281.4004956427573,0.0,-1281.4004956427573,31301.97701206043,30020.576516417677
P_B1,2025-12-14,1372.3636498995988,0.0,-1372.3636498995988,68003.15225865268,66629.87474184533
P_B1,2025-12-15,1412.1021384673193,0.0,-1412.1021384673193,66639.34557442067,65226.2232230196
P_B1,2025-12-16,1405.89740464407,0.0,-1405.89740464407,67746.76996803083,66339.83508821344
P_B1,2025-12-17,1472.482316925762,0.0,-1472.482316925762,66885.78877088561,65412.324661130566
P_B1,2025-12-18,1586.0851295018517,0.0,-1586.0851295018517,65841.55664135906,64254.47965781289
P_B1,2025-12-19,1457.1236495204623,0.0,-1457.1236495204623,29958.20179091787,28501.078141397407
P_B1,2025-12-20,1524.2202955136288,0.0,-1524.2202955136288,30751.120640544552,29226.900345030925
P_B1,2025-12-21,1588.7243754723438,0.0,-1588.7243754723438,67148.65686086485,65558.96739316966
P_B1,2025-12-22,1497.2168737809989,75.70382358000006,-1421.5130502009988,66731.30300084986,65308.80566324631
P_B1,2025-12-23,1526.6413043348132,0.0,-1526.6413043348132,66904.87699824106,65377.2675379034
P_B1,2025-12-24,1631.3288751207206,0.0,-1631.3288751207206,65957.60187529275,64325.182072115334
P_B1,2025-12-25,1572.7288408518705,0.0,-1572.7288408518705,66578.10388318506,65004.280508889664
P_B1,2025-12-26,1547.8973267005854,0.0,-1547.8973267005854,30378.02606133286,28830.12873463228
P_B1,2025-12-27,1553.2136432552422,0.0,-1553.2136432552422,30888.07344645402,29334.859803198775
P_B1,2025-12-28,1645.5312751286276,0.0,-1645.5312751286276,67329.19328350812,65682.56747493598
P_B1,2025-12-29,1651.6941142163894,0.0,-1651.6941142163894,66205.72915857466,64552.95219624335
P_B1,2025-12-30,1893.672756439601,36.51673528999802,-1857.156021149603,65599.12595686218,63740.83828108261
P_B1,2025-12-31,1724.9148910388674,0.0,-1724.9148910388674,64474.94939029564,62748.857148347655
P_B1_floor,2025-02-01,7199.430844820074,0.0,-7199.430844820074,31776.792246868208,22620.019234263193
P_B1_floor,2025-02-02,7909.111935016442,0.0,-7909.111935016442,67693.80094376655,59469.47778042547
P_B1_floor,2025-02-03,497.33411796745673,0.0,-497.33411796745673,57984.08964400771,57222.471839712074
P_B1_floor,2025-02-04,485.56447967417137,0.0,-485.56447967417137,59098.0834004197,58396.68726922059
P_B1_floor,2025-02-05,600.2771756255012,0.0,-600.2771756255012,60102.670932128036,59315.3679185151
P_B1_floor,2025-02-06,621.9307007498606,0.0,-621.9307007498606,59829.47830662405,59109.939128719365
P_B1_floor,2025-02-07,211.28277793949346,0.0,-211.28277793949346,23702.802617523994,23403.683327974963
P_B1_floor,2025-02-08,54.467564710646684,0.0,-54.467564710646684,20504.997819327706,20442.033149971183
P_B1_floor,2025-02-09,540.2995402866902,262.8238360953323,-277.4757041913579,54355.26499854964,54051.069075309184
P_B1_floor,2025-02-10,505.38906130540016,0.0,-505.38906130540016,56503.992438980276,56070.11820529866
P_B1_floor,2025-02-11,466.3986567217823,0.0,-466.3986567217823,51946.09725943554,51578.21263845347
P_B1_floor,2025-02-12,506.8179261815782,0.0,-506.8179261815782,52978.503530659014,52583.801786973665
P_B1_floor,2025-02-13,532.1746766256076,0.0,-532.1746766256076,53339.39610152145,52902.39083034439
P_B1_floor,2025-02-14,0.0,0.0,0.0,18898.709895083037,19021.865949787003
P_B1_floor,2025-02-15,83.8515513428325,0.0,-83.8515513428325,19262.156031544226,19283.673593594664
P_B1_floor,2025-02-16,657.0109304887006,89.55084149999904,-567.4600889887016,52136.09648912602,51694.07595687263
P_B1_floor,2025-02-17,661.1985232741421,0.0,-661.1985232741421,52611.20308918093,52050.85195956519
